epoch,tr_loss,tr_acc,loss,acc,f1m,f1w,recm,cm,lr
1,1.4064970717710608,0.18382352941176472,1.3975341039545395,0.29411764705882354,0.30049993865783337,0.2908214076944727,0.3055555555555556,"[[3 0 3 2]
 [0 1 3 5]
 [0 1 5 2]
 [0 1 7 1]]",0.0009999753262144805
2,1.3147108975578756,0.4117647058823529,1.3423331905813778,0.3235294117647059,0.2994609557109557,0.2969971205265323,0.33333333333333337,"[[6 1 1 0]
 [5 1 2 1]
 [6 0 2 0]
 [7 0 0 2]]",0.0009999013075636806
3,1.1902945602641386,0.6617647058823529,1.316934396238888,0.23529411764705882,0.158004158004158,0.1487097957686193,0.25,"[[2 0 6 0]
 [1 0 8 0]
 [2 0 6 0]
 [0 0 9 0]]",0.0009997779521645793
4,1.0448350310325623,0.7867647058823529,1.3670094013214111,0.3235294117647059,0.24568965517241378,0.23711967545638946,0.3402777777777778,"[[3 0 5 0]
 [3 1 5 0]
 [1 0 7 0]
 [5 0 4 0]]",0.0009996052735444863
5,0.8909469422172097,0.8602941176470589,1.3052416268516989,0.38235294117647056,0.3159090909090909,0.30802139037433157,0.3993055555555556,"[[4 0 4 0]
 [5 2 2 0]
 [1 0 7 0]
 [2 0 7 0]]",0.0009993832906395582
6,0.719298846581403,0.8235294117647058,1.2172179222106934,0.35294117647058826,0.3159090909090909,0.3120320855614973,0.3645833333333333,"[[7 0 1 0]
 [6 3 0 0]
 [5 0 2 1]
 [9 0 0 0]]",0.000999112027792722
7,0.5672702053013969,0.875,0.9884468878016752,0.7058823529411765,0.7075270897832817,0.7121881260244036,0.704861111111111,"[[6 1 1 0]
 [1 7 1 0]
 [2 0 5 1]
 [2 0 1 6]]",0.0009987915147510059
8,0.42586194417055917,0.9264705882352942,0.9815905199331396,0.5,0.47051282051282045,0.46681749622926094,0.5138888888888888,"[[8 0 0 0]
 [4 4 1 0]
 [4 0 4 0]
 [6 0 2 1]]",0.0009984217866622768
9,0.28017642918755026,0.9632352941176471,1.2837579951566809,0.35294117647058826,0.2591093117408907,0.2619671350321505,0.3611111111111111,"[[8 0 0 0]
 [5 4 0 0]
 [8 0 0 0]
 [9 0 0 0]]",0.0009980028840713858
10,0.22848967243643367,0.9705882352941176,1.1518272652345545,0.35294117647058826,0.2831081081081081,0.28116057233704295,0.3645833333333333,"[[8 0 0 0]
 [5 3 1 0]
 [7 0 1 0]
 [9 0 0 0]]",0.0009975348529157226
11,0.18790853637106278,0.9926470588235294,0.5125562092837166,0.8823529411764706,0.8821486928104576,0.8836745482506729,0.8854166666666666,"[[8 0 0 0]
 [0 8 1 0]
 [1 0 7 0]
 [1 0 1 7]]",0.000997017744520178
12,0.1441887354149538,1.0,0.509945504805621,0.8529411764705882,0.846584008097166,0.8489908311502739,0.8506944444444444,"[[8 0 0 0]
 [0 9 0 0]
 [3 0 5 0]
 [0 2 0 7]]",0.0009964516155915146
13,0.142162643811282,0.9705882352941176,0.5179344485787785,0.8823529411764706,0.8640350877192982,0.8704850361197111,0.875,"[[8 0 0 0]
 [0 9 0 0]
 [3 0 4 1]
 [0 0 0 9]]",0.000995836528212149
14,0.06952247987775241,1.0,0.5664359821992762,0.7647058823529411,0.7297953964194374,0.7404994734466677,0.7569444444444444,"[[8 0 0 0]
 [0 9 0 0]
 [5 0 2 1]
 [2 0 0 7]]",0.0009951725498333441
15,0.0691588968038559,1.0,0.4388161266551298,0.8529411764705882,0.8232057416267944,0.8320574162679426,0.84375,"[[8 0 0 0]
 [0 9 0 0]
 [4 0 3 1]
 [0 0 0 9]]",0.0009944597532678112
16,0.07563487747136284,0.9852941176470589,0.26189977281233845,0.9411764705882353,0.936421937195931,0.9386138356271302,0.9375,"[[8 0 0 0]
 [0 9 0 0]
 [1 0 6 1]
 [0 0 0 9]]",0.0009936982166817265
17,0.051465835203142726,1.0,0.29067616252338185,0.9117647058823529,0.9013720197930724,0.9056256780714985,0.90625,"[[8 0 0 0]
 [0 9 0 0]
 [2 0 5 1]
 [0 0 0 9]]",0.000992888023586158
18,0.04889611483496778,0.9926470588235294,0.27388158791205464,0.9411764705882353,0.9393382352941178,0.9411764705882353,0.9409722222222222,"[[8 0 0 0]
 [0 9 0 0]
 [1 0 7 0]
 [0 0 1 8]]",0.0009920292628279091
19,0.04465697749572642,1.0,0.26475327505784874,0.9117647058823529,0.907516339869281,0.9112264513648597,0.9097222222222222,"[[8 0 0 0]
 [0 8 1 0]
 [2 0 6 0]
 [0 0 0 9]]",0.000991122028579774
20,0.031123019097482458,1.0,0.7333596313700956,0.7058823529411765,0.6567320261437909,0.6700038446751249,0.6979166666666666,"[[8 0 0 0]
 [1 8 0 0]
 [6 0 1 1]
 [2 0 0 7]]",0.0009901664203302116
21,0.03509905057794908,1.0,0.3293074474615209,0.9117647058823529,0.902834008097166,0.9085496546796856,0.90625,"[[8 0 0 0]
 [0 9 0 0]
 [3 0 5 0]
 [0 0 0 9]]",0.0009891625428724354
22,0.02978693036472096,0.9926470588235294,0.15023102918091943,0.9411764705882353,0.9365079365079365,0.9402427637721755,0.9375,"[[8 0 0 0]
 [0 9 0 0]
 [2 0 6 0]
 [0 0 0 9]]",0.0009881105062929212
23,0.04107084914165385,0.9926470588235294,0.15283311728168936,0.9705882352941176,0.9705882352941178,0.9705882352941176,0.9722222222222222,"[[8 0 0 0]
 [0 9 0 0]
 [0 0 8 0]
 [0 0 1 8]]",0.0009870104259593353
24,0.02871940898544648,1.0,0.19539825508699699,0.9411764705882353,0.9428104575163399,0.942714340638216,0.9444444444444444,"[[8 0 0 0]
 [0 8 1 0]
 [0 0 8 0]
 [0 0 1 8]]",0.000985862422507883
25,0.039519837016568464,0.9926470588235294,0.2629062986987479,0.8823529411764706,0.8837826797385621,0.8852124183006536,0.8854166666666666,"[[8 0 0 0]
 [0 8 1 0]
 [1 0 7 0]
 [0 0 2 7]]",0.0009846666218300795
26,0.024552797131678638,1.0,0.24343502346207113,0.9117647058823529,0.902834008097166,0.9085496546796856,0.90625,"[[8 0 0 0]
 [0 9 0 0]
 [3 0 5 0]
 [0 0 0 9]]",0.000983423155058945
