epoch,tr_loss,tr_acc,loss,acc,f1m,f1w,recm,cm,lr
1,1.1662239421436722,0.5077355836849508,1.5002593578294265,0.3488372093023256,0.2554112554112554,0.24755864290748006,0.35,"[[5 0 0 3 0]
 [0 0 1 8 0]
 [0 0 1 7 0]
 [0 0 0 9 0]
 [2 0 1 6 0]]",0.0009999753262144805
2,0.3457596110476053,0.9240506329113924,0.8984132201172584,0.6744186046511628,0.6350231729055259,0.6321419392281225,0.6777777777777778,"[[8 0 0 0 0]
 [1 1 0 0 7]
 [3 0 4 0 1]
 [1 0 0 8 0]
 [1 0 0 0 8]]",0.0009999013075636806
3,0.163265192056004,0.9718706047819972,0.24205654928850573,0.9767441860465116,0.9764705882352942,0.9767441860465116,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 1 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009997779521645793
4,0.1079200703425414,0.9789029535864979,0.23019723351611648,0.9534883720930233,0.9550000000000001,0.9529069767441861,0.9555555555555555,"[[8 0 0 0 0]
 [0 7 0 0 2]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009996052735444863
5,0.0752090503855932,0.9873417721518988,0.23955895387849144,0.9302325581395349,0.9269153275345227,0.9294222789074832,0.9277777777777778,"[[8 0 0 0 0]
 [1 8 0 0 0]
 [1 0 6 0 1]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009993832906395582
6,0.058158497749166316,0.9887482419127989,0.15706978426423185,0.9767441860465116,0.9761403508771931,0.9765809873521012,0.975,"[[8 0 0 0 0]
 [0 9 0 0 0]
 [0 0 7 0 1]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000999112027792722
7,0.045774320845194845,0.9915611814345991,0.05996210855800052,1.0,1.0,1.0,1.0,"[[8 0 0 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009987915147510059
8,0.0417955445254067,0.9915611814345991,0.058329424885816356,1.0,1.0,1.0,1.0,"[[8 0 0 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009984217866622768
9,0.03963812657549411,0.9929676511954993,0.0761775966993598,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009980028840713858
10,0.03123679453750703,0.9957805907172996,0.06302979484547017,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009975348529157226
11,0.020172821391903063,1.0,0.055547074869621633,1.0,1.0,1.0,1.0,"[[8 0 0 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000997017744520178
12,0.022709464363533736,0.9957805907172996,0.03066682659609373,1.0,1.0,1.0,1.0,"[[8 0 0 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009964516155915146
13,0.018119738325895807,0.9957805907172996,0.035423705744188884,1.0,1.0,1.0,1.0,"[[8 0 0 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000995836528212149
14,0.017500755378423695,0.9971870604781997,0.04661309649777967,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009951725498333441
15,0.014539318186730021,0.9985935302390999,0.04229833670826846,1.0,1.0,1.0,1.0,"[[8 0 0 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009944597532678112
16,0.012338642030954361,0.9985935302390999,0.03175186608419862,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009936982166817265
17,0.011558573923575392,0.9985935302390999,0.06070486369521119,0.9534883720930233,0.9549019607843137,0.9543547651618788,0.9527777777777778,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 7 0 1]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000992888023586158
18,0.01097443163311096,0.9985935302390999,0.023565954593724982,1.0,1.0,1.0,1.0,"[[8 0 0 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009920292628279091
19,0.011152104507351056,1.0,0.02712759912707085,1.0,1.0,1.0,1.0,"[[8 0 0 0 0]
 [0 9 0 0 0]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.000991122028579774
20,0.010672210782514846,1.0,0.09361248792603959,0.9534883720930233,0.9549019607843137,0.9543547651618788,0.9527777777777778,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 7 0 1]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009901664203302116
21,0.012000498499422637,0.9971870604781997,0.044363595025483954,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009891625428724354
22,0.010564643960398964,0.9985935302390999,0.04458338749963184,0.9767441860465116,0.9777089783281735,0.976672186622507,0.9777777777777779,"[[8 0 0 0 0]
 [0 8 0 0 1]
 [0 0 8 0 0]
 [0 0 0 9 0]
 [0 0 0 0 9]]",0.0009881105062929212
