epoch,tr_loss,tr_acc,loss,acc,f1m,f1w,recm,cm,lr
1,0.6394016736015519,0.7884322678843226,1.0389100687176573,0.5882352941176471,0.5429200429200429,0.5450497215203097,0.5833333333333334,"[[1 6 1 1 0 0]
 [0 9 0 0 0 0]
 [0 0 2 6 0 0]
 [0 1 0 6 1 0]
 [1 1 1 0 4 1]
 [0 1 0 0 0 8]]",0.0009999753262144805
2,0.1278408743339042,0.963165905631659,0.622643254551233,0.803921568627451,0.7968897287782736,0.803191789897308,0.798611111111111,"[[7 0 0 2 0 0]
 [0 8 0 0 0 1]
 [0 0 3 5 0 0]
 [0 0 0 8 0 0]
 [1 0 0 1 6 0]
 [0 0 0 0 0 9]]",0.0009999013075636806
3,0.0713121817275723,0.9796042617960427,0.36149536920528785,0.8627450980392157,0.8595899470899471,0.8572673513849987,0.8657407407407408,"[[5 1 1 0 0 2]
 [0 8 0 0 0 1]
 [0 0 7 0 1 0]
 [0 0 0 7 1 0]
 [0 0 0 0 8 0]
 [0 0 0 0 0 9]]",0.0009997779521645793
4,0.05546056325554485,0.9844748858447488,0.3193332611345777,0.8627450980392157,0.8652852049910874,0.8632719932892944,0.8657407407407408,"[[6 0 1 0 0 2]
 [0 7 0 0 0 2]
 [0 0 7 0 1 0]
 [0 0 0 8 0 0]
 [0 0 1 0 7 0]
 [0 0 0 0 0 9]]",0.0009996052735444863
5,0.034334359057190934,0.9908675799086758,0.3180129685822655,0.8823529411764706,0.8805555555555556,0.8797385620915033,0.8819444444444443,"[[6 2 0 0 1 0]
 [0 9 0 0 0 0]
 [0 0 7 0 1 0]
 [0 0 0 8 0 0]
 [0 0 0 0 6 2]
 [0 0 0 0 0 9]]",0.0009993832906395582
6,0.03163070556178939,0.99117199391172,0.3257519164506127,0.8627450980392157,0.8590299277605781,0.8620409154373825,0.8587962962962964,"[[8 1 0 0 0 0]
 [0 9 0 0 0 0]
 [0 0 6 2 0 0]
 [1 0 0 7 0 0]
 [1 0 1 0 6 0]
 [0 0 0 0 1 8]]",0.000999112027792722
7,0.027353238464082212,0.9929984779299847,0.169529475125612,0.9607843137254902,0.9615411076711387,0.9605860094295716,0.9606481481481483,"[[9 0 0 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [1 0 0 0 7 0]
 [0 0 0 0 0 9]]",0.0009987915147510059
8,0.02702624727167399,0.9926940639269406,0.23648205867000655,0.9019607843137255,0.9018246187363834,0.90080738177624,0.9050925925925926,"[[7 0 1 1 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [1 0 0 0 7 0]
 [0 0 0 0 1 8]]",0.0009984217866622768
9,0.017461697441770993,0.9963470319634703,0.17959723490125992,0.9215686274509803,0.9225217864923746,0.9225938741509676,0.923611111111111,"[[8 0 1 0 0 0]
 [0 8 0 0 0 1]
 [0 0 8 0 0 0]
 [0 0 0 8 0 0]
 [0 0 1 0 7 0]
 [0 0 0 0 1 8]]",0.0009980028840713858
10,0.01701750693675499,0.9951293759512938,0.35970603601605283,0.8627450980392157,0.8571117335823217,0.8593837535014006,0.8587962962962963,"[[8 0 0 0 0 1]
 [0 8 0 0 0 1]
 [0 0 6 1 1 0]
 [0 0 0 8 0 0]
 [1 0 1 0 5 1]
 [0 0 0 0 0 9]]",0.0009975348529157226
